epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8795,1.12849,3.77884,1.38719,0.00274,0.65385,0.25973,0.18936,0.75221,4.02399,1.11161,0.0013,0.0013,0.0883
2,22.1044,0.8391,2.63968,1.09456,1,0.47668,0.65673,0.54002,0.74965,2.7101,1.04221,0.00267773,0.00267773,0.0756777
3,26.217,0.80972,1.67108,1.06207,1,0.02557,0.77745,0.58976,0.77844,2.64636,1.05804,0.00403235,0.00403235,0.0630324
4,30.2872,0.89155,1.34454,1.08705,1,0.35754,0.83145,0.61717,0.87294,2.32753,1.08233,0.00536387,0.00536387,0.0503639
5,34.2833,0.87548,1.20222,1.08617,0.5492,0.26923,0.3668,0.19149,1.03364,2.56151,1.23463,0.0066723,0.0066723,0.0376723
6,38.5061,0.88126,1.13497,1.0964,0.95299,0.77976,0.86446,0.59363,1.06275,1.71598,1.22517,0.00795762,0.00795762,0.0249576
7,42.5697,0.90504,1.14104,1.12659,0.76343,0.44872,0.50905,0.36852,0.98077,2.06306,1.19939,0.00921985,0.00921985,0.0122199
8,46.4523,0.90955,1.07949,1.12257,0.73664,0.70513,0.76306,0.58905,0.92473,1.29014,1.16289,0.0094225,0.0094225,0.0094225
9,50.4471,0.91778,0.96381,1.10797,0.84213,0.71795,0.77645,0.54147,1.02203,1.25805,1.27764,0.00934,0.00934,0.00934
10,54.4157,0.88378,0.91301,1.08915,0.81047,0.76753,0.79715,0.58799,0.9439,1.18402,1.20351,0.0092575,0.0092575,0.0092575
11,58.5354,0.89689,0.92812,1.09742,0.91246,0.80183,0.85658,0.6305,0.98998,0.97954,1.22248,0.009175,0.009175,0.009175
12,62.5739,0.92619,0.89694,1.09798,0.94106,0.84615,0.88441,0.6459,0.94935,1.2086,1.20136,0.0090925,0.0090925,0.0090925
13,66.4746,0.87759,0.89885,1.09601,0.68498,0.5576,0.62533,0.41085,1.06751,2.29224,1.3879,0.00901,0.00901,0.00901
14,70.5299,0.82847,0.85265,1.04725,0.81752,0.78205,0.78477,0.55098,0.91075,1.56141,1.21398,0.0089275,0.0089275,0.0089275
15,74.3483,0.851,0.81152,1.08673,0.83783,0.83333,0.84219,0.61209,0.9733,1.28838,1.26471,0.008845,0.008845,0.008845
16,78.1376,0.849,0.80895,1.07422,0.8187,0.78205,0.80492,0.59185,0.88826,1.38155,1.21141,0.0087625,0.0087625,0.0087625
17,82.1805,0.84862,0.78795,1.09025,0.8712,0.83333,0.87716,0.66687,0.8158,0.80436,1.13178,0.00868,0.00868,0.00868
18,86.1928,0.83952,0.7479,1.08751,0.93029,0.85544,0.89114,0.67091,0.86074,0.76202,1.14224,0.0085975,0.0085975,0.0085975
